INSTRUMENT,SYMBOL,EXPIRY_DT,OPTION_TYP,CLOSE,CLOSE_prev,PRICE_CHANGE,PRICE_CHANGE_PCT,OPEN_INT,OPEN_INT_prev,CHG_IN_OI,OI_CHANGE_PCT,OI_PATTERN
FUTSTK,TRENT,30-Jan-2025,,7335.3,7363.45,-28.149999999999636,-0.3822936259497876,3245200,3255100,-9900,-0.30413812171669075,Long Unwinding
FUTSTK,POLYCAB,30-Jan-2025,,7230.8,7424.0,-193.19999999999982,-2.60237068965517,1492250,1523125,-30875,-2.0270824784571193,Long Unwinding
FUTSTK,CONCOR,30-Jan-2025,,788.0,793.25,-5.25,-0.6618342262842736,17070000,16904000,166000,0.9820160908660672,Short Build-up
FUTSTK,ONGC,30-Jan-2025,,259.95,247.11,12.839999999999975,5.196066529076109,105736400,103844125,1892275,1.8222263416442674,Long Build-up
FUTSTK,BSOFT,30-Jan-2025,,553.95,568.25,-14.299999999999955,-2.5164980202375635,11409000,11146000,263000,2.359590884622286,Short Build-up
FUTSTK,RECLTD,30-Jan-2025,,540.0,522.1,17.899999999999977,3.428461980463508,46799000,48598000,-1799000,-3.7017984279188445,Short Covering
FUTSTK,EICHERMOT,30-Jan-2025,,5327.8,5332.3,-4.5,-0.0843913508242222,4553850,4411400,142450,3.2291336083782927,Short Build-up
FUTSTK,BHARATFORG,30-Jan-2025,,1300.3,1325.15,-24.850000000000136,-1.8752594045957163,11823500,11499500,324000,2.817513804948041,Short Build-up
FUTSTK,DIVISLAB,30-Jan-2025,,6082.65,6184.85,-102.20000000000073,-1.652424876916994,3157800,3176800,-19000,-0.5980861244019139,Long Unwinding
FUTSTK,SHRIRAMFIN,30-Jan-2025,,3062.85,3071.05,-8.200000000000273,-0.26700965467837623,6585750,6638400,-52650,-0.7931127982646421,Long Unwinding
FUTSTK,INFY,30-Jan-2025,,1944.75,1965.15,-20.40000000000009,-1.0380886955194306,42054000,42156800,-102800,-0.2438515257325034,Long Unwinding
FUTSTK,IRB,30-Jan-2025,,60.7,60.5,0.20000000000000284,0.33057851239669894,66040750,54376250,11664500,21.451460885956646,Long Build-up
FUTSTK,BSE,30-Jan-2025,,5361.5,5505.55,-144.05000000000018,-2.6164506725032046,2324125,2413625,-89500,-3.7081153866072816,Long Unwinding
FUTSTK,RELIANCE,30-Jan-2025,,1255.85,1248.6,7.25,0.580650328367772,179258000,180673500,-1415500,-0.7834574522550347,Short Covering
FUTSTK,BEL,30-Jan-2025,,293.55,298.35,-4.800000000000011,-1.6088486676722007,109140750,106416150,2724600,2.560325664854442,Short Build-up
FUTSTK,NMDC,30-Jan-2025,,68.04,68.06,-0.01999999999999602,-0.029385836027029124,242244000,241474500,769500,0.31866718846089337,Short Build-up
FUTSTK,ZOMATO,30-Jan-2025,,274.35,285.05,-10.699999999999989,-3.7537274162427603,115498000,113616000,1882000,1.6564568370652022,Short Build-up
FUTSTK,CANBK,30-Jan-2025,,101.83,101.77,0.060000000000002274,0.058956470472636614,266091750,263877750,2214000,0.8390248893663826,Long Build-up
FUTSTK,NESTLEIND,30-Jan-2025,,2236.75,2207.6,29.15000000000009,1.3204384852328361,8726400,8828200,-101800,-1.153122946920097,Short Covering
FUTSTK,LTTS,30-Jan-2025,,4807.2,4818.85,-11.650000000000546,-0.24175892588481784,663200,671700,-8500,-1.2654458835789786,Long Unwinding
FUTSTK,PFC,30-Jan-2025,,467.4,462.7,4.699999999999989,1.015776961314024,63869000,63203400,665600,1.0531079024229708,Long Build-up
FUTSTK,WIPRO,30-Jan-2025,,294.65,304.55,-9.900000000000034,-3.2506977507798505,62778000,59376000,3402000,5.7295877122069525,Short Build-up
FUTSTK,ASHOKLEY,30-Jan-2025,,235.49,236.85,-1.3599999999999852,-0.5742030821194787,57540000,59240000,-1700000,-2.8696826468602294,Long Unwinding
FUTSTK,PAGEIND,30-Jan-2025,,48053.45,48302.8,-249.35000000000582,-0.5162226620403079,181380,182235,-855,-0.46917441764754303,Long Unwinding
FUTSTK,TECHM,30-Jan-2025,,1696.3,1736.0,-39.700000000000045,-2.286866359447007,11388000,10867800,520200,4.786617346657097,Short Build-up
FUTSTK,M&M,30-Jan-2025,,3205.5,3227.65,-22.15000000000009,-0.686257803665208,17583300,17642625,-59325,-0.3362594851956554,Long Unwinding
FUTSTK,ADANIENT,30-Jan-2025,,2579.05,2611.25,-32.19999999999982,-1.2331258975586334,16936800,16908900,27900,0.16500186292425884,Short Build-up
FUTSTK,HINDCOPPER,30-Jan-2025,,251.02,251.42,-0.39999999999997726,-0.15909633282951924,38271300,38281900,-10600,-0.027689325764917627,Long Unwinding
